Name,Rank,State,Growth From 2000 to 2013,Population,Lat,Long,Location_Type
South San Francisco,522,California,9.1,66174,37.654656,-122.4077498,Vendor
Aliso Viejo,741,California,25.4,50175,33.5676842,-117.7256083,Vendor
Rapid City,479,South Dakota,17.9,70812,44.0805434,-103.2310149,Vendor
Coon Rapids,563,Minnesota,0.6,62103,45.1732394,-93.3030063,Vendor
Malden,585,Massachusetts,7.4,60509,42.4250964,-71.066163,Vendor
Noblesville,644,Indiana,88.1,56540,40.0455917,-86.0085955,Vendor
Delray Beach,543,Florida,6.1,64072,26.4614625,-80.0728201,Vendor
Wellington,588,Florida,55,60202,26.6617635,-80.2683571,Vendor
Florissant,703,Missouri,-2.8,52363,38.789217,-90.322614,Vendor
Youngstown,532,Ohio,-20.2,65184,41.0997803,-80.6495194,Vendor
Newport Beach,356,California,10.4,87273,33.6189101,-117.9289469,Vendor
Bloomington,412,Illinois,20.1,78902,40.4842027,-88.9936873,Vendor
Menifee,384,California,95,83447,33.6971468,-117.185294,Vendor
Lynchburg,423,Virginia,19.5,78014,37.4137536,-79.1422464,Vendor
Loveland,472,Colorado,37.4,71334,40.3977612,-105.0749801,Vendor
St. Joseph,429,Missouri,4.1,77147,39.7674578,-94.846681,Vendor
Folsom,458,California,38.6,73098,38.6779591,-121.1760583,Vendor
Decatur,448,Illinois,-8.7,74710,39.8403147,-88.9548001,Vendor
Napa,409,California,8.4,79068,38.2975381,-122.286865,Vendor
Allen,328,Texas,104,92020,33.1031744,-96.6705503,Vendor
Goose Creek,927,South Carolina,26.1,39823,32.9810059,-80.0325867,Vendor
Carpentersville,965,Illinois,22.8,38241,42.1211364,-88.2578582,Vendor
Bell Gardens,862,California,-2.7,42889,33.9652918,-118.1514588,Vendor
Woonsocket,890,Rhode Island,-5.2,41026,42.0028761,-71.5147839,Vendor
Maplewood,930,Minnesota,12.3,39765,44.9530215,-92.9952153,Vendor
Annapolis,954,Maryland,7.6,38722,38.9784453,-76.4921829,Vendor
Madison,811,Alabama,53.7,45799,34.6992579,-86.7483318,Vendor
Riverton,897,Utah,61.6,40921,40.521893,-111.9391023,Vendor
San Francisco,14,California,7.7,837442,37.7749295,-122.4194155,Vendor
Providence,134,Rhode Island,2.3,177994,41.8239891,-71.4128343,Vendor
San Mateo,286,California,9,101128,37.5629917,-122.3255254,Vendor
Corpus Christi,60,Texas,14.1,316381,27.8005828,-97.396381,Vendor
Yakima,322,Washington,11.7,93257,46.6020711,-120.5058987,Vendor
Miramar,196,Florida,74.7,130288,25.9860762,-80.3035602,Vendor
Orlando,77,Florida,31.2,255483,28.5383355,-81.3792365,Vendor
Tucson,33,Arizona,7.5,526116,32.2217429,-110.926479,Vendor
Dayton,179,Ohio,-13.5,143355,39.7589478,-84.1916069,Vendor
Chapel Hill,598,North Carolina,24.1,59635,35.9131996,-79.0558445,Vendor
Redondo Beach,504,California,6.7,67815,33.8491816,-118.3884078,Vendor
Gulfport,476,Mississippi,-0.6,71012,30.3674198,-89.0928155,Vendor
Schenectady,525,New York,6.7,65902,42.8142432,-73.9395687,Vendor
Plymouth,453,Minnesota,12,73987,45.0105194,-93.4555093,Vendor
Tracy,371,California,45.9,84691,37.7396513,-121.4252227,Vendor
Franklin,494,Tennessee,48.5,68886,35.9250637,-86.8688899,Vendor
Medford,425,Oregon,17.1,77677,42.3265152,-122.8755949,Vendor
Bowie,637,Maryland,8.6,56759,39.0067768,-76.7791365,Vendor
Casper,599,Wyoming,19.9,59628,42.866632,-106.313081,Vendor
Prescott Valley,929,Arizona,62.9,39791,34.6100243,-112.315721,Vendor
Commerce City,748,Colorado,135.4,49799,39.8083196,-104.9338675,Vendor
Bullhead City,941,Arizona,15.9,39383,35.1359386,-114.5285981,Vendor
Lawrence,794,Indiana,20.5,47135,39.8386516,-86.0252612,Vendor
Enid,727,Oklahoma,8.1,50725,36.3955891,-97.8783911,Vendor
Bedford,771,Texas,2.9,48592,32.844017,-97.1430671,Vendor
Long Beach,36,California,1.5,469428,33.7700504,-118.1937395,Vendor
Murfreesboro,228,Tennessee,65.1,117044,35.8456213,-86.39027,Vendor
San Jose,10,California,10.5,998537,37.3382082,-121.8863286,Vendor
Fontana,109,California,38.3,203003,34.0922335,-117.435048,Vendor
South Bend,288,Indiana,-6.8,100886,41.6763545,-86.2519898,Vendor
Aurora,55,Colorado,24.4,345803,39.7294319,-104.8319195,Vendor
Edmond,359,Oklahoma,26.9,87004,35.6528323,-97.4780954,Vendor
Mobile,122,Alabama,-1.9,194899,30.6953657,-88.0398912,Vendor
Midland,215,Texas,30.4,123933,31.9973456,-102.0779146,Vendor
Springfield,158,Massachusetts,1.1,153703,42.1014831,-72.589811,Vendor
Fort Collins,160,Colorado,26.6,152061,40.5852602,-105.084423,Vendor
Little Rock,118,Arkansas,7.6,197357,34.7464809,-92.2895948,Vendor
Denver,22,Colorado,16.7,649495,39.7392358,-104.990251,Vendor
Hialeah,89,Florida,3.2,233394,25.8575963,-80.2781057,Vendor
New York,1,New York,4.8,8405837,40.7127837,-74.0059413,Vendor
Des Moines,104,Iowa,3.9,207510,41.6005448,-93.6091064,Vendor
El Paso,19,Texas,19.4,674433,31.7775757,-106.4424559,Vendor
Houston,4,Texas,11,2195914,29.7604267,-95.3698028,Vendor
Wilmington,240,North Carolina,24.8,112067,34.2257255,-77.9447102,Vendor
New Bedford,315,Massachusetts,1.2,95078,41.6362152,-70.934205,Vendor
Las Cruces,285,New Mexico,37.6,101324,32.3199396,-106.7636538,Vendor
Simi Valley,210,California,12.6,126181,34.2694474,-118.781482,Vendor
Temecula,266,California,55.4,106780,33.4936391,-117.1483648,Vendor
Ann Arbor,229,Michigan,2,117025,42.2808256,-83.7430378,Vendor
Round Rock,251,Texas,81,109821,30.5082551,-97.678896,Vendor
Topeka,202,Kansas,3.4,127679,39.0558235,-95.6890185,Vendor
Beaumont,226,Texas,3.7,117796,30.080174,-94.1265562,Vendor
Frisco,186,Texas,287.7,136791,33.1506744,-96.8236116,Vendor
Haverhill,564,Massachusetts,5,62088,42.7762015,-71.0772796,Vendor
San Leandro,352,California,10.3,87965,37.7249296,-122.1560768,Vendor
Chino Hills,434,California,13.6,76572,33.9898188,-117.7325848,Vendor
Yuba City,530,California,27.9,65416,39.1404477,-121.6169108,Vendor
San Ramon,449,California,65.8,74513,37.7799273,-121.9780153,Vendor
Danbury,380,Connecticut,11.4,83684,41.394817,-73.4540111,Vendor
Chico,350,California,14.2,88077,39.7284944,-121.8374777,Vendor
